phase,client_observed_ms,server_internal_ms,socket_transfer_overhead_ms,status,decision,reason_code
warmup,3.448,1.000,2.448,200,ALLOW,OK_ALLOW
warmup,3.765,1.000,2.765,200,ALLOW,OK_ALLOW
warmup,3.806,2.000,1.806,200,ALLOW,OK_ALLOW
warmup,3.584,2.000,1.584,200,ALLOW,OK_ALLOW
warmup,3.662,1.000,2.662,200,ALLOW,OK_ALLOW
warmup,3.526,1.000,2.526,200,ALLOW,OK_ALLOW
warmup,3.456,1.000,2.456,200,ALLOW,OK_ALLOW
warmup,3.124,2.000,1.124,200,ALLOW,OK_ALLOW
warmup,3.646,1.000,2.646,200,ALLOW,OK_ALLOW
warmup,4.180,2.000,2.180,200,ALLOW,OK_ALLOW
warmup,4.206,2.000,2.206,200,ALLOW,OK_ALLOW
warmup,4.462,2.000,2.462,200,ALLOW,OK_ALLOW
warmup,3.981,2.000,1.981,200,ALLOW,OK_ALLOW
warmup,5.212,3.000,2.212,200,ALLOW,OK_ALLOW
warmup,4.652,2.000,2.652,200,ALLOW,OK_ALLOW
warmup,4.087,2.000,2.087,200,ALLOW,OK_ALLOW
warmup,4.671,2.000,2.671,200,ALLOW,OK_ALLOW
warmup,4.602,1.000,3.602,200,ALLOW,OK_ALLOW
warmup,4.846,2.000,2.846,200,ALLOW,OK_ALLOW
warmup,4.664,2.000,2.664,200,ALLOW,OK_ALLOW
warmup,4.113,2.000,2.113,200,ALLOW,OK_ALLOW
warmup,4.107,1.000,3.107,200,ALLOW,OK_ALLOW
warmup,3.520,1.000,2.520,200,ALLOW,OK_ALLOW
warmup,3.399,1.000,2.399,200,ALLOW,OK_ALLOW
warmup,3.093,1.000,2.093,200,ALLOW,OK_ALLOW
warmup,3.351,1.000,2.351,200,ALLOW,OK_ALLOW
warmup,3.258,1.000,2.258,200,ALLOW,OK_ALLOW
warmup,3.358,2.000,1.358,200,ALLOW,OK_ALLOW
warmup,3.193,2.000,1.193,200,ALLOW,OK_ALLOW
warmup,3.457,1.000,2.457,200,ALLOW,OK_ALLOW
warmup,3.602,1.000,2.602,200,ALLOW,OK_ALLOW
warmup,3.368,1.000,2.368,200,ALLOW,OK_ALLOW
warmup,3.427,2.000,1.427,200,ALLOW,OK_ALLOW
warmup,3.300,1.000,2.300,200,ALLOW,OK_ALLOW
warmup,3.394,1.000,2.394,200,ALLOW,OK_ALLOW
warmup,3.133,1.000,2.133,200,ALLOW,OK_ALLOW
warmup,2.900,1.000,1.900,200,ALLOW,OK_ALLOW
warmup,3.141,1.000,2.141,200,ALLOW,OK_ALLOW
warmup,3.394,2.000,1.394,200,ALLOW,OK_ALLOW
warmup,3.490,2.000,1.490,200,ALLOW,OK_ALLOW
warmup,4.067,2.000,2.067,200,ALLOW,OK_ALLOW
warmup,4.179,2.000,2.179,200,ALLOW,OK_ALLOW
warmup,4.204,2.000,2.204,200,ALLOW,OK_ALLOW
warmup,3.938,2.000,1.938,200,ALLOW,OK_ALLOW
warmup,4.006,2.000,2.006,200,ALLOW,OK_ALLOW
warmup,3.924,2.000,1.924,200,ALLOW,OK_ALLOW
warmup,3.598,2.000,1.598,200,ALLOW,OK_ALLOW
warmup,3.537,2.000,1.537,200,ALLOW,OK_ALLOW
warmup,4.014,2.000,2.014,200,ALLOW,OK_ALLOW
warmup,4.020,2.000,2.020,200,ALLOW,OK_ALLOW
warmup,3.679,1.000,2.679,200,ALLOW,OK_ALLOW
warmup,3.722,1.000,2.722,200,ALLOW,OK_ALLOW
warmup,3.447,1.000,2.447,200,ALLOW,OK_ALLOW
warmup,3.377,1.000,2.377,200,ALLOW,OK_ALLOW
warmup,2.754,1.000,1.754,200,ALLOW,OK_ALLOW
warmup,2.782,1.000,1.782,200,ALLOW,OK_ALLOW
warmup,2.815,1.000,1.815,200,ALLOW,OK_ALLOW
warmup,2.862,1.000,1.862,200,ALLOW,OK_ALLOW
warmup,2.988,1.000,1.988,200,ALLOW,OK_ALLOW
warmup,3.117,2.000,1.117,200,ALLOW,OK_ALLOW
warmup,3.124,1.000,2.124,200,ALLOW,OK_ALLOW
warmup,3.175,1.000,2.175,200,ALLOW,OK_ALLOW
warmup,3.194,1.000,2.194,200,ALLOW,OK_ALLOW
warmup,3.578,1.000,2.578,200,ALLOW,OK_ALLOW
warmup,3.784,1.000,2.784,200,ALLOW,OK_ALLOW
warmup,3.829,1.000,2.829,200,ALLOW,OK_ALLOW
warmup,4.093,1.000,3.093,200,ALLOW,OK_ALLOW
warmup,4.202,1.000,3.202,200,ALLOW,OK_ALLOW
warmup,4.377,1.000,3.377,200,ALLOW,OK_ALLOW
warmup,4.092,1.000,3.092,200,ALLOW,OK_ALLOW
warmup,3.952,2.000,1.952,200,ALLOW,OK_ALLOW
warmup,3.989,2.000,1.989,200,ALLOW,OK_ALLOW
warmup,2.381,1.000,1.381,200,ALLOW,OK_ALLOW
warmup,4.629,2.000,2.629,200,ALLOW,OK_ALLOW
warmup,4.459,2.000,2.459,200,ALLOW,OK_ALLOW
warmup,3.622,2.000,1.622,200,ALLOW,OK_ALLOW
warmup,3.373,2.000,1.373,200,ALLOW,OK_ALLOW
warmup,3.545,2.000,1.545,200,ALLOW,OK_ALLOW
warmup,3.505,2.000,1.505,200,ALLOW,OK_ALLOW
warmup,3.325,2.000,1.325,200,ALLOW,OK_ALLOW
warmup,3.625,2.000,1.625,200,ALLOW,OK_ALLOW
warmup,3.818,2.000,1.818,200,ALLOW,OK_ALLOW
warmup,4.021,2.000,2.021,200,ALLOW,OK_ALLOW
warmup,4.072,2.000,2.072,200,ALLOW,OK_ALLOW
warmup,4.053,2.000,2.053,200,ALLOW,OK_ALLOW
warmup,3.838,1.000,2.838,200,ALLOW,OK_ALLOW
warmup,3.506,1.000,2.506,200,ALLOW,OK_ALLOW
warmup,3.244,1.000,2.244,200,ALLOW,OK_ALLOW
warmup,3.014,1.000,2.014,200,ALLOW,OK_ALLOW
warmup,3.065,2.000,1.065,200,ALLOW,OK_ALLOW
warmup,4.051,2.000,2.051,200,ALLOW,OK_ALLOW
warmup,4.027,2.000,2.027,200,ALLOW,OK_ALLOW
